model_id,architecture,batch_size,learning_rate,max_epochs,use_initial_bias,use_label_smoothing,use_weighted_loss,epochs_trained,train_loss,train_tp,train_fp,train_tn,train_fn,train_accuracy,train_precision,train_recall,train_auc,train_prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
10,[16],512,0.001,50,False,False,False,50,0.007158234715461731,1311.0,304.0,596995.0,1390.0,0.9971766471862793,0.8117647171020508,0.4853757917881012,0.9900618195533752,0.7304732799530029,0.007447564043104649,484.0,125.0,198929.0,462.0,0.997065007686615,0.7947455048561096,0.5116279125213623,0.9876059293746948,0.7339863777160645
11,[16],512,0.001,100,False,False,False,100,0.006777293514460325,1447.0,355.0,596944.0,1254.0,0.9973183274269104,0.8029966950416565,0.5357275009155273,0.9918719530105591,0.7498820424079895,0.007051531225442886,533.0,138.0,198916.0,413.0,0.9972450137138367,0.7943367958068848,0.5634249448776245,0.9903862476348877,0.7504206299781799
12,[16],512,1e-05,30,False,False,False,11,0.5432239770889282,0.0,53542.0,543757.0,2701.0,0.906261682510376,0.0,0.0,0.25510916113853455,0.002931399969384074,0.5434094071388245,0.0,17975.0,181079.0,946.0,0.905394971370697,0.0,0.0,0.25497132539749146,0.003078827168792486
13,[16],512,1e-05,50,False,False,False,11,1.2681102752685547,30.0,503331.0,93968.0,2671.0,0.15666332840919495,5.959937334409915e-05,0.011106997728347778,0.05834363400936127,0.0023509664461016655,1.268062949180603,19.0,167746.0,31308.0,927.0,0.15663500130176544,0.000113253656309098,0.020084567368030548,0.060901887714862823,0.0024740006774663925
14,[16],512,1e-05,100,False,False,False,25,0.09208835661411285,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.9700329899787903,0.33168739080429077,0.09237269312143326,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.9720268249511719,0.3410930037498474
15,[16],512,1e-07,30,False,False,False,11,1.005422830581665,2589.0,567070.0,30229.0,112.0,0.054696667939424515,0.0045448243618011475,0.9585338830947876,0.13557495176792145,0.0025290241464972496,1.0054104328155518,911.0,188864.0,10190.0,35.0,0.05550500005483627,0.00480042165145278,0.96300208568573,0.14102354645729065,0.0026719956658780575
16,[16],512,1e-07,50,False,False,False,17,1.291110873222351,391.0,563086.0,34213.0,2310.0,0.05767333507537842,0.0006939058657735586,0.14476120471954346,0.03550751507282257,0.00228103157132864,1.2909307479858398,117.0,187653.0,11401.0,829.0,0.057590000331401825,0.0006231027073226869,0.12367864698171616,0.03459063544869423,0.002397541655227542
17,[16],512,1e-07,100,False,False,False,34,0.6068118810653687,2.0,143607.0,453692.0,2699.0,0.7561566829681396,1.3926704014011193e-05,0.0007404665229842067,0.5281481742858887,0.0046282606199383736,0.6073603630065918,0.0,47875.0,151179.0,946.0,0.7558950185775757,0.0,0.0,0.5312893390655518,0.004895105957984924
18,[16],2048,0.001,30,False,False,False,30,0.008916308172047138,1050.0,291.0,597008.0,1651.0,0.9967633485794067,0.7829977869987488,0.38874492049217224,0.9884230494499207,0.6528356075286865,0.009314777329564095,360.0,107.0,198947.0,586.0,0.9965350031852722,0.7708779573440552,0.38054966926574707,0.988615870475769,0.653937041759491
19,[16],2048,0.001,50,False,False,False,50,0.007689503487199545,1307.0,381.0,596918.0,1394.0,0.997041642665863,0.774289071559906,0.48389485478401184,0.991844117641449,0.6962870359420776,0.008101532235741615,480.0,144.0,198910.0,466.0,0.9969499707221985,0.7692307829856873,0.5073995590209961,0.9892288446426392,0.6963176727294922
20,[16],2048,0.001,100,False,False,False,100,0.007218966260552406,1286.0,292.0,597007.0,1415.0,0.9971550107002258,0.8149556517601013,0.4761199653148651,0.9905758500099182,0.7296926975250244,0.007553240284323692,479.0,119.0,198935.0,467.0,0.9970700144767761,0.8010033369064331,0.5063424706459045,0.9885918498039246,0.7295830249786377
